"TIMESTAMP","RECORD","batt_volt_Avg","PTemp","Dendro_Avg(1)","Dendro_Avg(2)","Dendro_Avg(3)","Dendro_Avg(4)","Dendro_Avg(5)","Dendro_Avg(6)"
"2012-06-03 15:40:00",0,12.52,21.45,1143.411,1656.959,3316.314,1570.575,1932.952,2612.477
"2012-06-03 15:50:00",1,12.52,21.42,1159.438,1682.358,3374.311,1592.715,1957.401,2661.305
"2012-06-03 16:00:00",2,12.51,21.37,1159.574,1682.494,3375.601,1592.851,1956.857,2661.781
"2012-06-03 16:10:00",3,12.5,21.23,1159.574,1682.494,3376.28,1592.851,1956.857,2661.781
"2012-06-03 16:20:00",4,12.5,21.04,1159.574,1682.494,3376.348,1592.851,1956.857,2661.713
"2012-06-03 16:30:00",5,12.49,20.85,1159.574,1682.494,3377.095,1592.851,1956.857,2661.645
"2012-06-03 16:40:00",6,12.49,20.66,1159.574,1682.494,3376.28,1592.851,1956.857,2661.441
"2012-06-03 16:50:00",7,12.48,20.5,1159.574,1682.494,3376.212,1592.851,1957.469,2661.781
"2012-06-03 17:00:00",8,12.48,20.34,1159.574,1682.494,3376.144,1592.851,1958.012,2661.781
"2012-06-03 17:10:00",9,12.48,20.21,1159.574,1682.494,3376.212,1592.851,1958.215,2661.781
"2012-06-03 17:20:00",10,12.47,20.08,1159.574,1682.494,3377.027,1592.851,1958.215,2661.781
"2012-06-03 17:30:00",11,12.47,19.92,1159.574,1682.494,3377.163,1592.851,1958.215,2661.781
"2012-06-03 17:40:00",12,12.46,19.78,1159.574,1682.494,3379.472,1592.851,1958.215,2661.781
"2012-06-03 17:50:00",13,12.46,19.65,1159.574,1682.494,3382.664,1592.851,1958.215,2661.781
"2012-06-03 18:00:00",14,12.46,19.52,1159.574,1682.494,3384.225,1592.851,1958.215,2661.781
"2012-06-03 18:10:00",15,12.45,19.31,1159.574,1682.494,3386.942,1592.851,1958.895,2661.781
"2012-06-03 18:20:00",16,12.45,19.1,1159.574,1682.494,3388.911,1592.851,1958.419,2661.781
"2012-06-03 18:30:00",17,12.45,18.89,1159.574,1682.494,3390.745,1592.851,1958.215,2661.781
"2012-06-03 18:40:00",18,12.44,18.69,1159.736,1682.532,3391.23,1592.887,1958.26,2661.841
"2012-06-	03 18:50:00",19,12.44,18.48,1160.194,1682.605,3392.532,1592.956,1958.345,2661.957
"2012-06-03 19:00:00",20,12.44,18.28,1160.589,1682.241,3393.096,1593.125,1958.553,2660.95
"2012-06-03 19:10:00",21,12.44,18.07,1161.262,1682.565,3393.475,1593.303,1958.772,2661.383
"2012-06-03 19:20:00",22,12.43,17.92,1161.303,1682.76,3393.665,1593.36,1958.842,2661.274
"2012-06-03 19:30:00",23,12.43,17.77,1161.321,1683.058,3394.396,1593.385,1958.872,2661.383
"2012-06-03 19:40:00",24,12.43,17.62,1161.342,1683.088,3394.864,1593.413,1958.975,2661.634
"2012-06-03 19:50:00",25,12.43,17.44,1161.365,1683.121,3395.134,1593.444,1959.896,2662.705
"2012-06-03 20:00:00",26,12.43,17.34,1161.403,1683.176,3395.246,1593.496,1959.825,2662.861
"2012-06-03 20:10:00",27,12.43,17.19,1161.419,1683.2,3395.294,1593.791,1959.989,2662.899
"2012-06-03 20:20:00",28,12.43,17.09,1162.109,1683.215,3395.325,1594.349,1959.938,2662.922
"2012-06-03 20:30:00",29,12.42,16.98,1162.88,1683.347,3395.591,1595.017,1960.432,2663.131
"2012-06-03 20:40:00",30,12.42,16.84,1162.932,1683.424,3395.745,1595.09,1960.657,2663.252
"2012-06-03 20:50:00",31,12.42,16.74,1162.909,1683.526,3395.676,1595.057,1960.617,2663.198
"2012-06-03 21:00:00",32,12.42,16.64,1162.916,1683.4,3395.697,1595.067,1960.629,2663.214
"2012-06-03 21:10:00",33,12.42,16.59,1162.918,1684.422,3395.77,1595.07,1960.632,2663.218
"2012-06-03 21:20:00",34,12.42,16.54,1162.939,1684.793,3395.833,1595.099,1960.669,2663.268
"2012-06-03 21:30:00",35,12.42,16.54,1163.445,1684.837,3395.922,1595.481,1960.72,2663.338
"2012-06-03 21:40:00",36,12.42,16.56,1164.346,1684.862,3396.312,1596.455,1960.748,2663.377
"2012-06-03 21:50:00",37,12.42,16.59,1164.333,1684.843,3397.227,1596.506,1960.727,2663.348
"2012-06-03 22:00:00",38,12.42,16.61,1164.3,1684.795,3396.993,1596.46,1960.671,2663.271
"2012-06-03 22:10:00",39,12.42,16.69,1164.276,1685.168,3397.058,1596.427,1960.63,2663.216
